ID,Grape,Color
1,'Barbera','Red'
2,'Cabernet Franc','Red'
3,'Cabernet Sauvignon','Red'
4,'Chardonnay','White'
5,'Grenache','Red'
6,'Malbec','Red'
7,'Marsanne','White'
8,'Merlot','Red'
9,'Mourvedre','Red'
10,'Muscat','White'
11,'Petite Sirah','Red'
12,'Pinot Noir','Red'
13,'Riesling','White'
14,'Roussanne','White'
15,'Sangiovese','Red'
16,'Sauvignon Blanc','White'
17,'Syrah','Red'
18,'Tempranillo','Red'
19,'Viognier','White'
20,'Zinfandel','Red'
21,'Red Blend','Red'
22,'Bordeaux-style Red Blend','Red'
23,'Nebbiolo','Red'
24,'Portugese Red','Red'
25,'White Blend','White'
26,'Champagne Blend','White'
27,'Pinot Gris','White'
28,'Rhône-style Red Blend','Red'
29,'Portugese White','White'
30,'Grüner Veltliner','White'
31,'Bordeaux-style White Blend','White'
32,'Pinot Grigio','White'
33,'Gamay','Red'
34,'Gewürztraminer','White'
35,'Viognier','White'
36,'Shiraz','Red'
37, 'Sangiovese Grosso', 'Red'
38, 'Barbera', 'Red'
39, 'Glera', 'White'
40, 'Port', 'Red'
41, 'Grenache', 'Red'
42, 'Zweigelt', 'Red'
43, 'Chenin Blanc', 'White'
44, 'Tempranillo Blend', 'Red'
45, 'Carmenère', 'Red'
46, 'Albariño', 'White'
47, 'Pinot Blanc', 'White'
48, 'Rhône-style White Blend', 'White'
49, 'Nero d'Avola', 'Red'
50, 'Aglianico', 'Red'
51, 'Moscato', 'White'
52, 'Garnacha', 'Red'
53, 'Sauvignon', 'White'
54, 'Verdejo', 'White'
55, 'Melon', 'White'
56, 'Garganega', 'White'
57, 'Petit Verdot', 'Red'
58, 'Torrontés', 'White'
59, 'Prosecco', 'White'
60, 'Blaufränkisch', 'Red'
61, 'Vermentino', 'White'
62, 'Mourvèdre', 'Red'
63, 'Primitivo', 'Red'
64, 'Montepulciano', 'Red'
65, 'Touriga Nacional', 'Red'
66, 'G-S-M', 'Red'
67, 'Pinot Nero', 'Red'
68, 'Dolcetto', 'Red'
